Morpheme,*VcV,Max,ID-C,ID-lat
General,7.109634639602084,8.975475319317962,4.464871713939207,8.97547531931796
s0,0.0,0.0,0.0,0.0
s1,0.0,0.0,0.0,0.0
s2,0.0,0.0,0.0,0.0
s3,0.0,0.0,0.0,0.0
s4,0.0,0.0,0.0,0.0
s5,0.0,0.0,0.0,0.0
s6,0.0,0.0,0.0,0.0
s7,0.0,0.0,0.0,0.0
s8,0.0,0.0,0.0,0.0
s9,0.0,0.0,0.0,0.0
s10,0.0,0.0,0.0,0.0
s11,0.0,0.0,0.0,0.0
s12,0.0,0.0,0.0,0.0
s13,0.0,0.0,0.0,0.0
s14,0.0,0.0,0.0,0.0
s15,0.0,0.0,0.0,0.0
s16,0.0,0.0,0.0,0.0
s17,0.0,0.0,0.0,0.0
s18,0.0,0.0,0.0,0.0
s19,0.0,0.0,0.0,0.0
s20,0.0,0.0,0.0,0.0
s21,0.0,0.0,0.0,0.0
s22,0.0,0.0,0.0,0.0
s23,0.0,0.0,0.0,0.0
s24,0.0,0.0,0.0,0.0
s25,0.0,0.0,0.0,0.0
s26,0.0,0.0,0.0,0.0
s27,0.0,0.0,0.0,0.0
s28,0.0,0.0,0.0,0.0
s29,0.0,0.0,0.0,0.0
s30,0.0,0.0,0.0,0.0
s31,0.0,0.0,0.0,0.0
s32,0.0,0.0,0.0,0.0
s33,0.0,0.0,0.0,0.0
s34,0.0,0.0,0.0,0.0
s35,0.0,0.0,0.0,0.0
s36,0.0,0.0,0.0,0.0
s37,0.0,0.0,0.0,0.0
s38,0.0,0.0,0.0,0.0
s39,0.0,0.0,0.0,0.0
s40,0.0,0.0,0.0,0.0
s41,0.0,0.0,0.0,0.0
s42,0.0,0.0,0.0,0.0
s43,0.0,0.0,0.0,0.0
s44,0.0,0.0,0.0,0.0
s45,0.0,0.0,0.0,0.0
s46,0.0,0.0,0.0,0.0
s47,0.0,0.0,0.0,0.0
s48,0.0,0.0,0.0,0.0
s49,0.0,0.0,0.0,0.0
s50,0.0,0.0,0.0,0.0
s51,0.0,0.0,0.0,0.0
s52,0.0,0.0,0.0,0.0
s53,0.0,0.0,0.0,0.0
s54,0.0,0.0,0.0,0.0
s55,0.0,0.0,0.0,0.0
s56,0.0,0.0,0.0,0.0
s57,0.0,0.0,0.0,0.0
s58,0.0,0.0,0.0,0.0
s59,0.0,0.0,0.0,0.0
s60,0.0,0.0,0.0,0.0
s61,0.0,0.0,0.0,0.0
s62,0.0,0.0,0.0,0.0
s63,0.0,0.0,0.0,0.0
s64,0.0,0.0,0.0,0.0
s65,0.0,0.0,0.0,0.0
s66,0.0,0.0,0.0,0.0
s67,0.0,0.0,0.0,0.0
s68,0.0,0.0,3.761383684404185,0.0
s69,0.0,0.0,3.761383684404185,0.0
s70,0.0,0.0,3.761383684404185,0.0
s71,0.0,0.0,3.761383684404185,0.0
s72,0.0,0.0,3.761383684404185,0.0
s73,2.550806949750042,0.6869872161598827,5.1951106415438,0.0
s74,2.550806949750042,0.6869872161598827,5.1951106415438,0.0
s75,2.550806949750042,0.6869872161598827,5.1951106415438,0.0
s76,2.550806949750042,0.6869872161598827,5.1951106415438,0.0
s77,2.550806949750042,0.6869872161598827,5.1951106415438,0.0
s78,0.0,0.0,3.761383684404185,0.0
s79,0.0,0.0,3.761383684404185,0.0
s80,0.0,0.0,3.761383684404185,0.0
s81,0.0,0.0,3.761383684404185,0.0
s82,0.0,0.0,3.761383684404185,0.0
s83,0.0,0.0,3.761383684404185,0.0
s84,0.0,0.0,3.761383684404185,0.0
s85,2.550806949750042,0.0,5.195110641543799,0.6869872161598823
s86,2.550806949750042,0.0,5.195110641543799,0.6869872161598823
s87,2.550806949750042,0.0,5.195110641543799,0.6869872161598823
s88,2.550806949750042,0.0,5.195110641543799,0.6869872161598823
s89,2.550806949750042,0.0,5.195110641543799,0.6869872161598823
s90,0.0,0.0,3.761383684404185,0.0
s91,0.0,0.0,3.761383684404185,0.0
s92,0.0,0.0,3.761383684404185,0.0
s93,0.0,0.0,3.761383684404185,0.0
p0,0.0,0.0,0.0,0.0
p1,0.0,0.0,0.0,0.0
p2,0.0,0.0,0.0,0.0
p3,0.0,0.0,0.0,0.0
p4,0.0,0.0,0.0,0.0
p5,0.0,0.0,0.0,0.0
p6,0.0,0.0,0.0,0.0
p7,0.0,0.0,0.0,0.0
p8,0.0,0.0,0.0,0.0
p9,0.0,0.0,0.0,0.0
