Input,Output,ObservedProb,ExpectedProb
tat-a,tata,0.0,0.8362240433089078
tat-a,tala,1.0,0.08188797834554619
tat-a,taa,0.0,0.08188797834554605
tat-ta,tatta,1.0,0.9660775795425665
tat-ta,talta,0.0,0.016961210228716852
tat-ta,tata,0.0,0.016961210228716824
tat-e,tate,0.0,0.8362240433089078
tat-e,tale,1.0,0.08188797834554619
tat-e,tae,0.0,0.08188797834554605
tat-te,tatte,1.0,0.9660775795425665
tat-te,talte,0.0,0.016961210228716852
tat-te,tate,0.0,0.016961210228716824
tat-i,tati,0.0,0.8362240433089078
tat-i,tali,1.0,0.08188797834554619
tat-i,tai,0.0,0.08188797834554605
tat-ti,tatti,1.0,0.9660775795425665
tat-ti,talti,0.0,0.016961210228716852
tat-ti,tati,0.0,0.016961210228716824
tat-o,tato,0.0,0.8362240433089078
tat-o,talo,1.0,0.08188797834554619
tat-o,tao,0.0,0.08188797834554605
tat-to,tatto,1.0,0.9660775795425665
tat-to,talto,0.0,0.016961210228716852
tat-to,tato,0.0,0.016961210228716824
tat-u,tatu,0.0,0.8362240433089078
tat-u,talu,1.0,0.08188797834554619
tat-u,tau,0.0,0.08188797834554605
tat-tu,tattu,1.0,0.9660775795425665
tat-tu,taltu,0.0,0.016961210228716852
tat-tu,tatu,0.0,0.016961210228716824
jat-a,jata,0.0,0.8362240433089078
jat-a,jala,1.0,0.08188797834554619
jat-a,jaa,0.0,0.08188797834554605
jat-ta,jatta,1.0,0.9660775795425665
jat-ta,jalta,0.0,0.016961210228716852
jat-ta,jata,0.0,0.016961210228716824
jat-e,jate,0.0,0.8362240433089078
jat-e,jale,1.0,0.08188797834554619
jat-e,jae,0.0,0.08188797834554605
jat-te,jatte,1.0,0.9660775795425665
jat-te,jalte,0.0,0.016961210228716852
jat-te,jate,0.0,0.016961210228716824
jat-i,jati,0.0,0.8362240433089078
jat-i,jali,1.0,0.08188797834554619
jat-i,jai,0.0,0.08188797834554605
jat-ti,jatti,1.0,0.9660775795425665
jat-ti,jalti,0.0,0.016961210228716852
jat-ti,jati,0.0,0.016961210228716824
jat-o,jato,0.0,0.8362240433089078
jat-o,jalo,1.0,0.08188797834554619
jat-o,jao,0.0,0.08188797834554605
jat-to,jatto,1.0,0.9660775795425665
jat-to,jalto,0.0,0.016961210228716852
jat-to,jato,0.0,0.016961210228716824
jat-u,jatu,0.0,0.8362240433089078
jat-u,jalu,1.0,0.08188797834554619
jat-u,jau,0.0,0.08188797834554605
jat-tu,jattu,1.0,0.9660775795425665
jat-tu,jaltu,0.0,0.016961210228716852
jat-tu,jatu,0.0,0.016961210228716824
ket-a,keta,0.0,0.8362240433089078
ket-a,kela,1.0,0.08188797834554619
ket-a,kea,0.0,0.08188797834554605
