Morpheme,*V-Obs-V,Max,ID-lat
General,1.8044909710041426,3.8541427068267953,3.8541427068267944
s0,2.760224974508799,0.7508980455369785,0.0
s1,2.760224974508799,0.7508980455369785,0.0
s2,2.760224974508799,0.7508980455369785,0.0
s3,2.760224974508799,0.7508980455369785,0.0
s4,2.760224974508799,0.7508980455369785,0.0
s5,0.0,0.0,0.0
s6,0.0,0.0,0.0
s7,0.0,0.0,0.0
s8,0.0,0.0,0.0
s9,0.0,0.0,0.0
s10,0.0,0.0,0.0
s11,0.0,0.0,0.0
s12,2.760224974508799,0.0,0.7508980455369787
s13,2.760224974508799,0.0,0.7508980455369787
s14,2.760224974508799,0.0,0.7508980455369787
s15,2.760224974508799,0.0,0.7508980455369787
s16,2.760224974508799,0.0,0.7508980455369787
s17,0.0,0.0,0.0
s18,0.0,0.0,0.0
s19,0.0,0.0,0.0
s20,0.0,0.0,0.0
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
p4,0.0,0.0,0.0
p5,0.0,0.0,0.0
p6,0.0,0.0,0.0
p7,0.0,0.0,0.0
