Morpheme,*V-Obs-V,Max,ID-lat
General,1.9894385996445207,3.6606502351628865,3.6606502351628865
s0,1.7300161781287244,0.12674893724148154,0.0
s1,1.7300161781287244,0.12674893724148154,0.0
s2,1.7300161781287244,0.12674893724148154,0.0
s3,1.7300161781287244,0.12674893724148154,0.0
s4,1.7300161781287244,0.12674893724148154,0.0
s5,0.0,0.0,0.0
s6,0.0,0.0,0.0
s7,0.0,0.0,0.0
s8,0.0,0.0,0.0
s9,0.0,0.0,0.0
s10,0.0,0.0,0.0
s11,0.0,0.0,0.0
s12,1.730016178128724,0.0,0.12674893724148095
s13,1.730016178128724,0.0,0.12674893724148095
s14,1.730016178128724,0.0,0.12674893724148095
s15,1.730016178128724,0.0,0.12674893724148095
s16,1.730016178128724,0.0,0.12674893724148095
s17,0.0,0.0,0.0
s18,0.0,0.0,0.0
s19,0.0,0.0,0.0
s20,0.0,0.0,0.0
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
p4,0.0,0.0,0.0
p5,0.0,0.0,0.0
