Morpheme,*V-Obs-V,Max,ID-lat
General,1.7187707793983,4.042315155430115,4.0423151554301135
s0,3.4302909746180936,1.135259979011084,0.0
s1,3.4302909746180936,1.135259979011084,0.0
s2,3.4302909746180936,1.135259979011084,0.0
s3,3.4302909746180936,1.135259979011084,0.0
s4,3.4302909746180936,1.135259979011084,0.0
s5,0.0,0.0,0.0
s6,0.0,0.0,0.0
s7,0.0,0.0,0.0
s8,0.0,0.0,0.0
s9,0.0,0.0,0.0
s10,0.0,0.0,0.0
s11,0.0,0.0,0.0
s12,3.430290974618094,0.0,1.1352599790110849
s13,3.430290974618094,0.0,1.1352599790110849
s14,3.430290974618094,0.0,1.1352599790110849
s15,3.430290974618094,0.0,1.1352599790110849
s16,3.430290974618094,0.0,1.1352599790110849
s17,0.0,0.0,0.0
s18,0.0,0.0,0.0
s19,0.0,0.0,0.0
s20,0.0,0.0,0.0
p0,0.0,0.0,0.0
p1,0.0,0.0,0.0
p2,0.0,0.0,0.0
p3,0.0,0.0,0.0
p4,0.0,0.0,0.0
p5,0.0,0.0,0.0
p6,0.0,0.0,0.0
p7,0.0,0.0,0.0
p8,0.0,0.0,0.0
p9,0.0,0.0,0.0
